,trail,log_loss_val
0,Milford Trails,0.2955383062081377
1,Tower Park,0.4941828926538382
2,Devou Park,0.5118839158990353
3,England Idlewild,0.4830455226014524
4,Hueston Woods,0.5654723745062259
5,Premier Health Bike Park,0.5111112680422618
6,Caesar Creek,0.5710367310122153
7,Harbin Park,0.5300576363739227
8,Mount Airy Forest,0.5503428074390931
9,Mitchell Memorial Forest,0.5986192743399792
10,East Fork State Park,0.5180735510571254
11,Landen Deerfield,0.616000963256707
