,trail,roc_auc_val
0,Milford Trails,0.4934478741991846
1,Tower Park,0.8056980826357006
2,Devou Park,0.8330502717391305
3,England Idlewild,0.8244092508798392
4,Hueston Woods,0.7533539731682146
5,Premier Health Bike Park,0.8217294900221729
6,Caesar Creek,0.7697056030389363
7,Harbin Park,0.8048433048433049
8,Mount Airy Forest,0.8036023711810305
9,Mitchell Memorial Forest,0.7797988149373019
10,East Fork State Park,0.8246666666666667
11,Landen Deerfield,0.7306823760432009
